t,x,y,x_vel,y_vel
11.000000000,0.996216974,0.877362040,0.192037512,0.033861395
11.100000000,1.015642771,0.879061577,0.194257966,0.016995370
11.200000000,1.035142771,0.879061577,0.195000000,0.000000000
11.300000000,1.054642771,0.879061577,0.195000000,0.000000000
11.400000000,1.074142771,0.879061577,0.195000000,0.000000000
11.500000000,1.093642771,0.879061577,0.195000000,0.000000000
11.600000000,1.113142771,0.879061577,0.195000000,0.000000000
11.700000000,1.132642771,0.879061577,0.195000000,0.000000000
11.800000000,1.152142771,0.879061577,0.195000000,0.000000000
11.900000000,1.171642771,0.879061577,0.195000000,0.000000000
12.000000000,1.191142771,0.879061577,0.195000000,0.000000000
12.100000000,1.210642771,0.879061577,0.195000000,0.000000000
12.200000000,1.230142771,0.879061577,0.195000000,0.000000000
12.300000000,1.249642771,0.879061577,0.195000000,0.000000000
12.400000000,1.269142771,0.879061577,0.195000000,0.000000000
12.500000000,1.288568567,0.877362040,0.194257966,-0.016995370
12.600000000,1.307772319,0.873975901,0.192037512,-0.033861395
12.700000000,1.326607872,0.868928929,0.188355536,-0.050469714
12.800000000,1.345443426,0.863881958,0.188355536,-0.050469714
12.900000000,1.363767432,0.857212565,0.183240061,-0.066693928
13.000000000,1.382561284,0.850372162,0.187938524,-0.068404029
13.100000000,1.401355137,0.843531760,0.187938524,-0.068404029
13.200000000,1.420148989,0.836691357,0.187938524,-0.068404029
13.300000000,1.438275145,0.828238991,0.181261557,-0.084523652
13.400000000,1.455595653,0.818238991,0.173205081,-0.100000000
13.500000000,1.472916161,0.808238991,0.173205081,-0.100000000
13.600000000,1.489299202,0.796767463,0.163830409,-0.114715287
13.700000000,1.504620091,0.783911711,0.153208889,-0.128557522
13.800000000,1.519940980,0.771055958,0.153208889,-0.128557522
13.900000000,1.535261869,0.758200206,0.153208889,-0.128557522
14.000000000,1.550582757,0.745344454,0.153208889,-0.128557522
14.100000000,1.565903646,0.732488702,0.153208889,-0.128557522
14.200000000,1.581224535,0.719632950,0.153208889,-0.128557522
14.300000000,1.597607576,0.708161421,0.163830409,-0.114715287
14.400000000,1.613990617,0.696689892,0.163830409,-0.114715287
14.500000000,1.630373658,0.685218363,0.163830409,-0.114715287
14.600000000,1.646756699,0.673746835,0.163830409,-0.114715287
14.700000000,1.663139740,0.662275306,0.163830409,-0.114715287
14.800000000,1.679522780,0.650803777,0.163830409,-0.114715287
14.900000000,1.695905821,0.639332249,0.163830409,-0.114715287
15.000000000,1.712288862,0.627860720,0.163830409,-0.114715287
15.100000000,1.728671903,0.616389191,0.163830409,-0.114715287
15.200000000,1.745054944,0.604917662,0.163830409,-0.114715287
15.300000000,1.761437985,0.593446134,0.163830409,-0.114715287
15.400000000,1.777821026,0.581974605,0.163830409,-0.114715287
15.500000000,1.794204067,0.570503076,0.163830409,-0.114715287
15.600000000,1.810587108,0.559031547,0.163830409,-0.114715287
15.700000000,1.826970148,0.547560019,0.163830409,-0.114715287
15.800000000,1.843353189,0.536088490,0.163830409,-0.114715287
15.900000000,1.859736230,0.524616961,0.163830409,-0.114715287
16.000000000,1.876119271,0.513145433,0.163830409,-0.114715287
16.100000000,1.892502312,0.501673904,0.163830409,-0.114715287
16.200000000,1.908885353,0.490202375,0.163830409,-0.114715287
16.300000000,1.925268394,0.478730846,0.163830409,-0.114715287
